"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2664","Проверка отображения заказа из страницы 'История заказов' на странице 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","1884","Проверка перехода на страницу 'Конструктор' при клике на кнопку 'Конструктор'","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","1823","Проверка перехода на страницу 'Забыли пароль' при клике на ссылку 'Восстановить пароль'","tests","2026-04-15","passed","2026-04-15","TestForgotPasswordPage","Страница 'Забыли пароль'","",""
"","3311","Проверка перехода на страницу 'Профиль' при клике на кнопку 'Личный кабинет'","tests","2026-04-15","passed","2026-04-15","TestProfilePage","Страница 'Личный кабинет'","",""
"","2653","Проверка отображения заказа из страницы 'История заказов' на странице 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","2577","Проверка перехода на страницу 'Лента заказов' при клике на кнопку 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","2391","Проверка добавления только что созданного заказа в список 'В работе' на странице 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","10026","Проверка увеличения счетчиков на странице 'Лента заказов' при создании заказа","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","9448","Проверка увеличения счетчиков на странице 'Лента заказов' при создании заказа","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","2832","Проверка подсвечивания поля 'Пароль' при клике на кнопку 'показать/скрыть пароль'","tests","2026-04-15","passed","2026-04-15","TestResetPasswordPage","Страница 'Восстановить пароль'","",""
"","1971","Проверка перехода на страницу 'Забыли пароль' при клике на ссылку 'Восстановить пароль'","tests","2026-04-15","passed","2026-04-15","TestForgotPasswordPage","Страница 'Забыли пароль'","",""
"","1974","Проверка перехода на страницу 'Конструктор' при клике на кнопку 'Конструктор'","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","10024","Проверка увеличения счетчиков на странице 'Лента заказов' при создании заказа","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","4055","Проверка подсвечивания поля 'Пароль' при клике на кнопку 'показать/скрыть пароль'","tests","2026-04-15","passed","2026-04-15","TestResetPasswordPage","Страница 'Восстановить пароль'","",""
"","1618","Проверка открытия деталей ингредиента при клике на ингредиент","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","2255","Проверка закрытия деталей ингредиента при клике на крестик","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","8989","Проверка увеличения счетчиков на странице 'Лента заказов' при создании заказа","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","1713","Проверка перехода на страницу 'История заказов' при клике на кнопку 'История заказов'","tests","2026-04-15","passed","2026-04-15","TestProfilePage","Страница 'Личный кабинет'","",""
"","1241","Проверка увеличения счетчика ингредиента при добавлении ингредиента в заказ","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","2874","Проверка перехода на страницу 'Профиль' при клике на кнопку 'Личный кабинет'","tests","2026-04-15","passed","2026-04-15","TestProfilePage","Страница 'Личный кабинет'","",""
"","6632","Проверка создания заказа для авторизированного пользователя","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","1514","Проверка открытия заказа при клике на карточку заказа на странице 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","2506","Проверка добавления только что созданного заказа в список 'В работе' на странице 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","1285","Проверка увеличения счетчика ингредиента при добавлении ингредиента в заказ","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","1521","Проверка открытия заказа при клике на карточку заказа на странице 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
"","1684","Проверка открытия деталей ингредиента при клике на ингредиент","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","2100","Проверка закрытия деталей ингредиента при клике на крестик","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","3055","Проверка выхода из системы при клике на кнопку 'Выход'","tests","2026-04-15","passed","2026-04-15","TestProfilePage","Страница 'Личный кабинет'","",""
"","1780","Проверка перехода на страницу 'История заказов' при клике на кнопку 'История заказов'","tests","2026-04-15","passed","2026-04-15","TestProfilePage","Страница 'Личный кабинет'","",""
"","6601","Проверка создания заказа для авторизированного пользователя","tests","2026-04-15","passed","2026-04-15","TestConstructorPage","Страница 'Конструктор'","",""
"","3228","Проверка выхода из системы при клике на кнопку 'Выход'","tests","2026-04-15","passed","2026-04-15","TestProfilePage","Страница 'Личный кабинет'","",""
"","2586","Проверка перехода на страницу 'Лента заказов' при клике на кнопку 'Лента заказов'","tests","2026-04-15","passed","2026-04-15","TestOrderFeedPage","Страница 'Лента заказов'","",""
